2592;2595;231;233;845;301;301;298;2565
858;855;860;721;854;2532;851;581;2568
529;2288;2511;384;2517;2535;206;2547;396
530;310;241;721;2520;565;244;2550;2571
418;295;497;724;2523;866;283;297;2574
461;558;226;722;848;2538;221;228;523
2481;478;230;233;846;236;238;252;842
461;2496;214;515;838;209;210;213;837
259;563;231;765;846;301;834;585;841
2484;189;2514;766;391;186;187;2553;2577
2487;304;493;385;2526;306;309;290;831
2490;286;229;767;826;286;824;589;829
2493;203;489;768;388;203;822;583;388
550;355;487;515;2201;341;2541;214;2580
428;2499;374;724;280;249;441;2556;2583
819;2502;817;724;2529;270;439;2559;814
259;265;811;263;808;806;267;2562;803
218;2505;277;769;792;272;272;789;2586
800;2508;576;724;796;795;2544;799;2589
195;199;256;263;1855;198;192;254;539
